Postcode,LDZ,Exit Zone
AA141AA,NO,NO1
AA161AA,NO,NO1
AA321AA,NO,NO1
AA411AA,NO,NO1
AA431AA,NO,NO1
BD11BA,NE,NE1
BD11DD,NE,NE1
BD11DF,NE,NE1
BD11DH,NE,NE1
BD11DP,NE,NE1
BD11DR,NE,NE1
BD11DT,NE,NE1
BD11DU,NE,NE1
BD11ED,NE,NE1
BD11HN,NE,NE1
BD11JY,NE,NE1
BD11LD,NE,NE1
BD11LT,NE,NE1
BD11NL,NE,NE1
BD11QE,NE,NE1
BD11QH,NE,NE1
BD11TR,NE,NE1
BD11US,NE,NE1
BD11VV,NE,NE1
BD12AE,NE,NE1
BD12AL,NE,NE1
BD12AP,NE,NE1
BD12AR,NE,NE1
BD12AS,NE,NE1
BD12AU,NE,NE1
BD12BS,NE,NE1
BD12DA,NE,NE1
BD12DF,NE,NE1
BD12EB,NE,NE1
BD12EF,NE,NE1
BD12EL,NE,NE1
BD12HX,NE,NE1
BD12JE,NE,NE1
BD12JQ,NE,NE1
BD12LT,NE,NE1
BD12LW,NE,NE1
BD12NA,NE,NE1
BD12NP,NE,NE1
BD12PA,NE,NE1
BD12QB,NE,NE1
BD12QJ,NE,NE1
BD12QX,NE,NE1
BD12RS,NE,NE1
BD12SF,NE,NE1
BD12SU,NE,NE1
BD12TD,NE,NE1
BD13AN,NE,NE1
BD13AP,NE,NE1
BD13DT,NE,NE1
BD13DU,NE,NE1
BD13DY,NE,NE1
BD13EF,NE,NE1
BD13JG,NE,NE1
BD13JJ,NE,NE1
BD13JQ,NE,NE1
BD13LF,NE,NE1
BD13PU,NE,NE1
BD13QF,NE,NE1
BD13TA,NE,NE1
BD13TY,NE,NE1
BD13VV,NE,NE1
BD14AD,NE,NE1
BD14AF,NE,NE1
BD14DB,NE,NE1
BD14DF,NE,NE1
BD14ET,NE,NE1
BD14EZ,NE,NE1
BD14HL,NE,NE1
BD14HY,NE,NE1
BD14JA,NE,NE1
BD14NR,NE,NE1
BD14PT,NE,NE1
BD14QW,NE,NE1
BD14RE,NE,NE1
BD14RJ,NE,NE1
BD14RR,NE,NE1
BD14RZ,NE,NE1
BD14SG,NE,NE1
BD14SH,NE,NE1
BD14SU,NE,NE1
BD14SW,NE,NE1
BD14SZ,NE,NE1
BD14TR,NE,NE1
BD14TW,NE,NE1
BD14VV,NE,NE1
BD15BU,NE,NE1
BD15ED,NE,NE1
BD15HF,NE,NE1
BD15HY,NE,NE1
BD15JD,NE,NE1
BD15LP,NE,NE1
BD15PZ,NE,NE1
BD15TA,NE,NE1
BD15VV,NE,NE1
BD11DA,NE,NE1
BD11EE,NE,NE1
BD11EG,NE,NE1
BD11EJ,NE,NE1
BD11EY,NE,NE1
BD11EZ,NE,NE1
BD11HX,NE,NE1
BD11HY,NE,NE1
BD11JA,NE,NE1
BD11JD,NE,NE1
BD11JE,NE,NE1
BD11JL,NE,NE1
BD11JN,NE,NE1
BD11JR,NE,NE1
BD11JT,NE,NE1
BD11JU,NE,NE1
BD11JX,NE,NE1
BD11LH,NE,NE1
BD11LN,NE,NE1
BD11LW,NE,NE1
BD11NE,NE,NE1
BD11NN,NE,NE1
BD11NQ,NE,NE1
BD11NT,NE,NE1
BD11PH,NE,NE1
BD11PJ,NE,NE1
BD11PP,NE,NE1
BD11PR,NE,NE1
BD11PT,NE,NE1
BD11PU,NE,NE1
BD11PZ,NE,NE1
BD11QB,NE,NE1
BD11QD,NE,NE1
BD11QL,NE,NE1
BD11QP,NE,NE1
BD11QR,NE,NE1
BD11QS,NE,NE1
BD11QT,NE,NE1
BD11RA,NE,NE1
BD11RB,NE,NE1
BD11RD,NE,NE1
BD11RE,NE,NE1
BD11RJ,NE,NE1
BD11SD,NE,NE1
BD11SQ,NE,NE1
BD11SW,NE,NE1
BD11SX,NE,NE1
BD11SZ,NE,NE1
BD11TE,NE,NE1
BD11TF,NE,NE1
BD11TQ,NE,NE1
BD11TS,NE,NE1
BD11TU,NE,NE1
BD11UA,NE,NE1
BD11UG,NE,NE1
BD12AA,NE,NE1
BD12AB,NE,NE1
BD12AJ,NE,NE1
BD12AQ,NE,NE1
BD12AT,NE,NE1
BD12AW,NE,NE1
BD12AY,NE,NE1
BD12AZ,NE,NE1
BD12BX,NE,NE1
BD12DG,NE,NE1
BD12DX,NE,NE1
BD12EE,NE,NE1
BD12EP,NE,NE1
BD12ER,NE,NE1
BD12HA,NE,NE1
BD12HB,NE,NE1
BD12HF,NE,NE1
BD12HJ,NE,NE1
BD12HP,NE,NE1
BD12HQ,NE,NE1
BD12HR,NE,NE1
BD12HS,NE,NE1
BD12HY,NE,NE1
BD12JA,NE,NE1
BD12JB,NE,NE1
BD12JD,NE,NE1
BD12JH,NE,NE1
BD12JL,NE,NE1
BD12JN,NE,NE1
BD12JS,NE,NE1
BD12JT,NE,NE1
BD12JX,NE,NE1
BD12JY,NE,NE1
BD12LA,NE,NE1
BD12LB,NE,NE1
BD12LD,NE,NE1
BD12LF,NE,NE1
BD12LG,NE,NE1
BD12LJ,NE,NE1
BD12LL,NE,NE1
BD12LQ,NE,NE1
BD12LU,NE,NE1
BD12LY,NE,NE1
BD12ND,NE,NE1
BD12NE,NE,NE1
BD12NF,NE,NE1
BD12NJ,NE,NE1
BD12NT,NE,NE1
BD12NU,NE,NE1
BD12PF,NE,NE1
BD12PG,NE,NE1
BD12PJ,NE,NE1
BD12PL,NE,NE1
BD12PN,NE,NE1
BD12PP,NE,NE1
BD12PR,NE,NE1
BD12PS,NE,NE1
BD12PU,NE,NE1
BD12PW,NE,NE1
BD12PX,NE,NE1
BD12PY,NE,NE1
BD12QL,NE,NE1
BD12QR,NE,NE1
BD12QT,NE,NE1
BD12QU,NE,NE1
BD12QY,NE,NE1
BD12RD,NE,NE1
BD12RE,NE,NE1
BD12RN,NE,NE1
BD12RP,NE,NE1
BD12RU,NE,NE1
BD12RW,NE,NE1
BD12RX,NE,NE1
BD12RZ,NE,NE1
BD12SD,NE,NE1
BD12SH,NE,NE1
BD12SS,NE,NE1
BD13AA,NE,NE1
BD13AD,NE,NE1
BD13AH,NE,NE1
BD13AU,NE,NE1
BD13AZ,NE,NE1
BD13BA,NE,NE1
BD13BE,NE,NE1
BD13BN,NE,NE1
BD13BT,NE,NE1
BD13BU,NE,NE1
BD13BW,NE,NE1
BD13BY,NE,NE1
BD13BZ,NE,NE1
BD13DN,NE,NE1
BD13EA,NE,NE1
